league;season;matchweek;homeTeam;awayTeam;homeGoals;awayGoals;date;hour;referee;homeLineup;awayLineup;homePossession;awayPossession;homePassingAccuracy;awayPassingAccuracy;homeShotsonTarget;awayShotsonTarget;homeSaves;awaySaves;homeFouls;awayFouls;homeCorners;awayCorners;homeCrosses;awayCrosses;homeTouches;awayTouches;homeTackles;awayTackles;homeInterceptions;awayInterceptions;homeAerialsWon;awayAerialsWon;homeClearances;awayClearances;homeOffsides;awayOffsides;homeGoalKicks;awayGoalKicks;homeThrowIns;awayThrowIns;homeLongBalls;awayLongBalls
SerieA;23_24;18;Milan;Sassuolo;1;0;2023-12-30;18:00;Livio Marinelli (Referee);Milan (4-2-3-1);Sassuolo (4-2-3-1);58%;42%;86%;78%;10%;50%;100%;50%;8;7;6;5;14;22;673;491;12;13;7;6;8;10;19;15;6;0;10;13;15;20;74;56
SerieA;23_24;18;Hellas Verona;Salernitana;0;1;2023-12-30;18:00;Maurizio Mariani (Referee);Hellas Verona (4-2-3-1);Salernitana (4-1-4-1);48%;52%;72%;70%;0%;33%;66%;%;14;13;7;6;28;20;516;533;23;13;13;2;23;17;26;23;2;0;6;9;19;28;75;77
SerieA;23_24;18;Juventus;Roma;1;0;2023-12-30;20:45;Simone Sozza (Referee);Juventus (3-5-2);Roma (3-5-2);43%;57%;82%;85%;23%;18%;100%;66%;15;14;2;2;16;19;552;708;7;10;4;6;18;16;22;15;2;0;9;9;11;13;75;70
SerieA;23_24;19;Bologna;Genoa;1;1;2024-01-05;20:45;Andrea Colombo (Referee);Bologna (4-2-3-1);Genoa (3-5-2);71%;29%;84%;72%;38%;33%;0%;87%;8;10;11;2;39;10;841;443;16;19;4;14;9;6;11;29;2;0;6;8;23;18;53;63
SerieA;23_24;19;Internazionale;Hellas Verona;2;1;2024-01-06;12:30;Michael Fabbri (Referee);Inter (3-5-2);Hellas Verona (4-2-3-1);61%;39%;80%;72%;40%;43%;66%;66%;16;15;7;0;23;19;653;450;14;14;6;5;18;21;10;21;6;1;6;9;21;16;76;70
SerieA;23_24;19;Frosinone;Monza;2;3;2024-01-06;15:00;Maria Sole Ferrieri Caputi (Referee);Frosinone (3-4-3);Monza (3-4-3);60%;40%;81%;71%;44%;29%;0%;75%;11;16;5;1;19;3;655;489;8;24;7;13;14;13;7;26;2;0;4;8;27;14;39;90
SerieA;23_24;19;Lecce;Cagliari;1;1;2024-01-06;18:00;Davide Massa (Referee);Lecce (4-1-4-1);Cagliari (4-4-1-1);42%;58%;68%;73%;13%;14%;50%;50%;20;14;7;6;20;26;432;547;13;18;9;5;8;11;17;16;6;0;12;8;23;20;77;91
SerieA;23_24;19;Sassuolo;Fiorentina;1;0;2024-01-06;20:45;Rosario Abisso (Referee);Sassuolo (4-2-3-1);Fiorentina (4-2-3-1);34%;66%;68%;79%;14%;13%;100%;0%;10;14;1;8;5;35;366;604;5;9;6;7;8;17;39;14;5;6;9;6;16;22;55;77
SerieA;23_24;19;Empoli;Milan;0;3;2024-01-07;12:30;Federico La Penna (Referee);Empoli (4-3-1-2);Milan (4-3-3);35%;65%;82%;89%;12%;42%;60%;100%;9;13;6;6;19;16;472;766;17;16;9;0;7;6;15;20;0;0;5;6;20;24;64;63
SerieA;23_24;19;Udinese;Lazio;1;2;2024-01-07;15:00;Juan Sacchi (Referee);Udinese (3-5-1-1);Lazio (4-3-3);47%;53%;79%;79%;15%;29%;0%;50%;16;22;4;4;12;11;534;568;10;13;12;6;20;9;17;15;0;1;5;11;30;22;64;62
SerieA;23_24;19;Torino;Napoli;3;0;2024-01-07;15:00;Maurizio Mariani (Referee);Torino (3-4-1-2);Napoli (4-3-3);50%;50%;82%;81%;60%;30%;100%;50%;7;10;2;5;15;15;554;549;4;10;11;2;18;18;9;13;3;3;6;9;20;13;70;50
SerieA;23_24;19;Salernitana;Juventus;1;2;2024-01-07;18:00;Marco Guida (Referee);Salernitana (3-5-2);Juventus (3-5-2);30%;70%;70%;85%;38%;17%;33%;66%;9;15;2;8;11;34;395;751;6;15;4;3;18;16;41;11;0;2;14;4;18;18;62;55
SerieA;23_24;19;Roma;Atalanta;1;1;2024-01-07;20:45;Gianluca Aureliano (Referee);Roma (3-5-2);Atalanta (3-4-3);56%;44%;78%;76%;33%;25%;50%;100%;14;14;6;5;23;16;634;543;14;22;10;6;15;10;15;33;2;1;4;9;25;12;65;60
