league;season;matchweek;homeTeam;awayTeam;homeGoals;awayGoals;date;hour;referee;homeLineup;awayLineup;homePossession;awayPossession;homePassingAccuracy;awayPassingAccuracy;homeShotsonTarget;awayShotsonTarget;homeSaves;awaySaves;homeFouls;awayFouls;homeCorners;awayCorners;homeCrosses;awayCrosses;homeTouches;awayTouches;homeTackles;awayTackles;homeInterceptions;awayInterceptions;homeAerialsWon;awayAerialsWon;homeClearances;awayClearances;homeOffsides;awayOffsides;homeGoalKicks;awayGoalKicks;homeThrowIns;awayThrowIns;homeLongBalls;awayLongBalls
SerieA;23_24;3;Empoli;Juventus;0;2;2023-09-03;20:45;Giovanni Ayroldi (Referee);Empoli (4-3-3);Juventus (3-5-2);50%;50%;83%;83%;0%;24%;50%;%;14;13;3;7;27;19;590;620;8;17;4;12;4;5;11;25;2;1;8;8;17;13;43;71
SerieA;23_24;4;Juventus;Lazio;3;1;2023-09-16;15:00;Fabio Maresca (Referee);Juventus (3-1-4-2);Lazio (4-3-3);36%;64%;81%;89%;41%;31%;80%;57%;13;13;7;9;11;19;479;744;14;9;10;6;12;4;17;8;1;0;11;11;11;10;56;43
SerieA;23_24;4;Internazionale;Milan;5;1;2023-09-16;18:00;Simone Sozza (Referee);Inter (3-5-2);Milan (4-3-3);41%;59%;81%;89%;46%;22%;50%;33%;16;13;5;0;12;8;464;644;12;8;5;5;8;6;10;18;2;2;9;5;16;14;66;32
SerieA;23_24;4;Genoa;Napoli;2;2;2023-09-16;20:45;Michael Fabbri (Referee);Genoa (4-4-2);Napoli (4-3-3);34%;66%;71%;85%;38%;33%;50%;33%;14;8;3;1;15;14;429;743;15;19;7;7;16;14;17;14;1;3;11;3;16;22;53;44
SerieA;23_24;4;Cagliari;Udinese;0;0;2023-09-17;12:30;Daniele Doveri (Referee);Cagliari (3-5-2);Udinese (3-5-2);46%;54%;75%;82%;10%;9%;100%;100%;12;11;4;6;18;18;503;594;13;17;5;12;14;16;19;20;3;1;13;11;29;11;75;55
SerieA;23_24;4;Monza;Lecce;1;1;2023-09-17;15:00;Livio Marinelli (Referee);Monza (3-4-3);Lecce (4-3-3);61%;39%;84%;82%;20%;67%;100%;80%;17;11;10;1;29;12;677;494;19;14;6;10;10;8;10;31;1;0;3;18;26;8;54;42
SerieA;23_24;4;Frosinone;Sassuolo;4;2;2023-09-17;15:00;Alessandro Prontera (Referee);Frosinone (4-4-2);Sassuolo (4-4-2);55%;45%;83%;78%;33%;39%;71%;40%;10;9;5;6;14;11;590;497;10;14;6;9;10;7;16;21;5;2;8;10;22;20;57;58
SerieA;23_24;4;Fiorentina;Atalanta;3;2;2023-09-17;18:00;Luca Pairetto (Referee);Fiorentina (4-2-3-1);Atalanta (3-4-1-2);57%;43%;81%;74%;53%;36%;50%;62%;8;14;3;4;16;6;680;548;19;27;5;16;21;18;11;24;0;2;5;6;28;26;75;66
SerieA;23_24;4;Roma;Empoli;7;0;2023-09-17;20:45;Juan Sacchi (Referee);Roma (3-5-2);Empoli (4-3-3);53%;47%;88%;87%;62%;25%;100%;37%;15;5;2;6;7;25;699;625;25;19;5;10;12;9;17;9;2;2;5;2;17;13;52;28
SerieA;23_24;4;Salernitana;Torino;0;3;2023-09-18;18:30;Antonio Giua (Referee);Salernitana (3-4-3);Torino (3-4-3);56%;44%;79%;78%;29%;27%;0%;100%;12;16;1;2;13;12;638;537;14;11;6;11;17;18;15;16;2;2;4;7;24;12;35;65
SerieA;23_24;4;Hellas Verona;Bologna;0;0;2023-09-18;20:45;Federico La Penna (Referee);Hellas Verona (3-4-3);Bologna (4-2-3-1);40%;60%;78%;86%;11%;36%;100%;100%;18;10;3;4;17;15;474;682;15;8;4;5;11;17;16;15;5;1;7;4;17;18;63;56
SerieA;23_24;5;Salernitana;Frosinone;1;1;2023-09-22;18:30;Marco Piccinini (Referee);Salernitana (3-4-3);Frosinone (4-3-3);50%;50%;77%;76%;32%;33%;66%;83%;12;12;8;6;22;14;547;560;11;20;9;8;14;17;14;26;4;3;6;11;22;20;62;71
SerieA;23_24;5;Lecce;Genoa;1;0;2023-09-22;20:45;Antonio Rapuano (Referee);Lecce (4-3-3);Genoa (4-4-2);56%;44%;83%;75%;17%;13%;100%;66%;12;10;4;3;22;14;598;505;11;32;8;7;10;11;14;17;1;0;5;13;25;26;60;77
SerieA;23_24;5;Milan;Hellas Verona;1;0;2023-09-23;15:00;Fabio Maresca (Referee);Milan (4-2-3-1);Hellas Verona (3-4-3);54%;46%;79%;73%;44%;20%;100%;75%;12;11;2;3;13;20;607;527;17;23;12;4;18;18;14;18;1;1;7;8;19;20;60;79
SerieA;23_24;5;Sassuolo;Juventus;4;2;2023-09-23;18:00;Andrea Colombo (Referee);Sassuolo (4-2-3-1);Juventus (3-1-4-2);43%;57%;76%;83%;39%;13%;50%;57%;13;8;6;3;18;21;506;654;17;16;10;13;6;16;18;22;0;2;15;9;26;22;68;69
