player;shirtnumber;nationality;position;age;minutes;goals;assists;pens_made;pens_att;shots;shots_on_target;cards_yellow;cards_red;touches;tackles;interceptions;blocks;xg;npxg;xg_assist;sca;gca;passes_completed;passes;passes_pct;progressive_passes;carries;progressive_carries;take_ons;take_ons_won;passes_total_distance;passes_progressive_distance;passes_completed_short;passes_short;passes_pct_short;passes_completed_medium;passes_medium;passes_pct_medium;passes_completed_long;passes_long;passes_pct_long;pass_xa;assisted_shots;passes_into_final_third;passes_into_penalty_area;crosses_into_penalty_area;passes_live;passes_dead;passes_free_kicks;through_balls;passes_switches;crosses;throw_ins;corner_kicks;corner_kicks_in;corner_kicks_out;corner_kicks_straight;passes_offsides;passes_blocked;tackles_won;tackles_def_3rd;tackles_mid_3rd;tackles_att_3rd;challenge_tackles;challenges;challenge_tackles_pct;challenges_lost;blocked_shots;blocked_passes;tackles_interceptions;clearances;errors;touches_def_pen_area;touches_def_3rd;touches_mid_3rd;touches_att_3rd;touches_att_pen_area;touches_live_ball;take_ons_won_pct;take_ons_tackled;take_ons_tackled_pct;carries_distance;carries_progressive_distance;carries_into_final_third;carries_into_penalty_area;miscontrols;dispossessed;passes_received;progressive_passes_received;cards_yellow_red;fouls;fouled;offsides;pens_won;pens_conceded;own_goals;ball_recoveries;aerials_won;aerials_lost;aerials_won_pct
Kieran Trippier;2;eng ENG;RB;32-327;90;0;0;0;0;0;0;0;0;91.0;0.0;1;1.0;0.0;0.0;0.4;6.0;0.0;68.0;83.0;81.9;5.0;58.0;0.0;1.0;1.0;1268.0;507.0;33.0;34.0;97.1;25.0;29.0;86.2;10.0;17.0;58.8;0.3;4.0;5.0;1.0;0.0;64.0;18.0;5.0;0.0;0.0;7;7.0;6.0;2.0;2.0;0.0;1.0;2.0;0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;1.0;2.0;0.0;4.0;33.0;35.0;24.0;1.0;91.0;100.0;0.0;0.0;180.0;78.0;1.0;0.0;1.0;0.0;55.0;1.0;0;1;1;0;0.0;0.0;0;9.0;0.0;0.0;
Nick Pope;22;eng ENG;GK;31-115;90;0;0;0;0;0;0;0;0;27.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;17.0;23.0;73.9;0.0;14.0;0.0;0.0;0.0;401.0;206.0;2.0;2.0;100.0;12.0;12.0;100.0;3.0;9.0;33.3;0.0;0.0;0.0;0.0;0.0;15.0;8.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;24.0;27.0;0.0;0.0;0.0;27.0;;0.0;;49.0;29.0;0.0;0.0;0.0;0.0;9.0;0.0;0;0;0;0;0.0;0.0;0;0.0;0.0;0.0;
Ollie Watkins;11;eng ENG;FW;27-225;90;0;1;0;0;2;1;0;0;27.0;1.0;0;1.0;0.3;0.3;0.2;3.0;1.0;15.0;18.0;83.3;2.0;15.0;1.0;3.0;2.0;212.0;38.0;10.0;11.0;90.9;5.0;5.0;100.0;0.0;0.0;;0.1;2.0;1.0;1.0;0.0;14.0;4.0;0.0;0.0;0.0;0;1.0;0.0;0.0;0.0;0.0;0.0;2.0;1;0.0;0.0;1.0;0.0;0.0;;0.0;1.0;0.0;1.0;2.0;0.0;3.0;3.0;12.0;12.0;5.0;27.0;66.7;1.0;33.3;57.0;31.0;1.0;0.0;0.0;2.0;18.0;6.0;0;0;0;0;0.0;0.0;0;1.0;0.0;1.0;0.0
John McGinn;7;sct SCO;LW,AM;28-298;63;0;0;0;0;0;0;0;0;22.0;0.0;0;0.0;0.0;0.0;0.0;1.0;0.0;13.0;18.0;72.2;1.0;16.0;0.0;2.0;0.0;232.0;93.0;7.0;7.0;100.0;4.0;6.0;66.7;2.0;4.0;50.0;0.0;1.0;2.0;0.0;0.0;16.0;2.0;1.0;1.0;1.0;3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;13.0;7.0;0.0;22.0;0.0;1.0;50.0;62.0;6.0;0.0;0.0;2.0;0.0;18.0;6.0;0;1;1;0;0.0;0.0;0;1.0;0.0;0.0;
   Diego Carlos;3;br BRA;CB;30-150;27;0;0;0;0;2;1;0;0;21.0;2.0;0;0.0;0.3;0.3;0.0;0.0;0.0;15.0;15.0;100.0;0.0;10.0;0.0;0.0;0.0;234.0;156.0;6.0;6.0;100.0;8.0;8.0;100.0;0.0;0.0;;0.0;0.0;1.0;0.0;0.0;15.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2;2.0;0.0;0.0;1.0;1.0;100.0;0.0;0.0;0.0;2.0;1.0;0.0;3.0;9.0;10.0;2.0;2.0;21.0;;0.0;;51.0;23.0;0.0;0.0;0.0;0.0;15.0;0.0;0;0;0;0;0.0;0.0;0;2.0;1.0;0.0;100.0
Leon Bailey;31;jm JAM;RW;26-003;45;0;0;0;0;0;0;0;0;24.0;0.0;1;1.0;0.0;0.0;0.0;1.0;0.0;5.0;17.0;29.4;0.0;14.0;2.0;1.0;0.0;85.0;34.0;1.0;5.0;20.0;2.0;6.0;33.3;1.0;2.0;50.0;0.0;0.0;1.0;0.0;0.0;17.0;0.0;0.0;1.0;0.0;3;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;1.0;1.0;0.0;0.0;1.0;6.0;10.0;8.0;0.0;24.0;0.0;0.0;0.0;174.0;41.0;3.0;0.0;0.0;4.0;17.0;1.0;0;0;1;0;0.0;0.0;0;2.0;1.0;0.0;100.0
   Youri Tielemans;8;be BEL;CM,LW;26-097;45;0;0;0;0;0;0;0;0;25.0;0.0;0;0.0;0.0;0.0;0.1;1.0;0.0;21.0;24.0;87.5;4.0;18.0;1.0;1.0;0.0;299.0;62.0;13.0;13.0;100.0;4.0;5.0;80.0;2.0;2.0;100.0;0.1;1.0;2.0;0.0;0.0;23.0;1.0;0.0;0.0;0.0;0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;11.0;9.0;1.0;25.0;0.0;1.0;100.0;77.0;51.0;1.0;0.0;0.0;0.0;24.0;3.0;0;0;0;0;0.0;0.0;0;1.0;0.0;0.0;
Moussa Diaby;19;fr FRA;AM,FW,RW;24-036;86;1;0;0;0;3;2;0;0;30.0;1.0;0;0.0;0.3;0.3;0.3;4.0;0.0;21.0;24.0;87.5;5.0;21.0;5.0;2.0;2.0;350.0;63.0;10.0;13.0;76.9;10.0;10.0;100.0;1.0;1.0;100.0;0.1;2.0;5.0;1.0;0.0;23.0;1.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.0;1.0;0.0;1.0;1.0;100.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;2.0;16.0;12.0;4.0;30.0;100.0;0.0;0.0;147.0;89.0;2.0;2.0;1.0;4.0;23.0;7.0;0;0;1;0;0.0;0.0;0;3.0;0.0;2.0;0.0
   Philippe Coutinho;23;br BRA;FW;31-061;4;0;0;0;0;1;0;0;0;11.0;0.0;0;0.0;0.1;0.1;0.0;1.0;0.0;7.0;9.0;77.8;1.0;6.0;3.0;1.0;1.0;88.0;26.0;5.0;6.0;83.3;2.0;3.0;66.7;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;8.0;1.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;4.0;6.0;1.0;11.0;100.0;0.0;0.0;73.0;56.0;3.0;0.0;1.0;0.0;9.0;2.0;0;0;0;0;0.0;0.0;0;1.0;0.0;0.0;
Douglas Luiz;6;br BRA;DM,CM;25-095;90;0;0;0;0;4;1;1;0;87.0;1.0;1;1.0;0.2;0.2;0.1;6.0;1.0;69.0;77.0;89.6;8.0;51.0;0.0;1.0;1.0;1119.0;255.0;28.0;31.0;90.3;30.0;32.0;93.8;6.0;8.0;75.0;0.1;1.0;4.0;2.0;0.0;71.0;6.0;4.0;2.0;0.0;1;0.0;2.0;1.0;0.0;0.0;0.0;1.0;0;0.0;1.0;0.0;0.0;2.0;0.0;2.0;0.0;1.0;2.0;0.0;0.0;2.0;18.0;50.0;19.0;2.0;87.0;100.0;0.0;0.0;251.0;70.0;0.0;0.0;2.0;1.0;69.0;3.0;0;1;0;0;0.0;0.0;0;6.0;0.0;1.0;0.0
